outcome,race,collection_rate
win,Protoss,3560
loss,Zerg,2905
win,Protoss,4518
loss,Zerg,4478
win,Protoss,3857
loss,Zerg,4338
win,Protoss,3694
loss,Zerg,4523
win,Zerg,4159
loss,Protoss,3694
win,Zerg,4137
loss,Protoss,3767
win,Zerg,4176
loss,Protoss,3728
win,Protoss,4428
loss,Zerg,4686
win,Protoss,4428
loss,Zerg,5055
win,Protoss,3823
loss,Zerg,4053
win,Zerg,4210
loss,Protoss,3661
win,Zerg,3162
loss,Protoss,2530
win,Zerg,5615
loss,Protoss,3795
win,Zerg,4988
loss,Protoss,3762
win,Zerg,5307
loss,Protoss,3946
win,Zerg,5302
loss,Protoss,4098
win,Protoss,4081
loss,Zerg,4792
win,Protoss,1936
loss,Zerg,1875
win,Protoss,1074
loss,Zerg,950
win,Zerg,3302
loss,Protoss,2535
win,Protoss,2826
loss,Zerg,2804
win,Zerg,4702
loss,Protoss,4310
win,Protoss,3454
loss,Zerg,3291
win,Zerg,4445
loss,Protoss,4271
win,Protoss,2804
loss,Zerg,2737
win,Protoss,2373
loss,Zerg,2099
win,Zerg,3605
loss,Protoss,3028
win,Zerg,3319
loss,Protoss,3140
win,Zerg,4630
loss,Protoss,4014
win,Zerg,5257
loss,Protoss,3442
win,Zerg,4719
loss,Protoss,3062
win,Zerg,4814
loss,Protoss,3532
win,Zerg,5212
loss,Protoss,4562
win,Protoss,3790
loss,Zerg,3980
win,Zerg,4210
loss,Protoss,3493
win,Protoss,4456
loss,Zerg,4585
win,Zerg,783
loss,Protoss,839
win,Protoss,4165
loss,Zerg,3734
win,Protoss,4456
loss,Zerg,3644
win,Protoss,2345
loss,Zerg,1852
win,Protoss,3694
loss,Zerg,4462
win,Protoss,4053
loss,Zerg,4271
win,Protoss,2608
loss,Zerg,2451
win,Protoss,3230
loss,Zerg,3006
win,Protoss,2720
loss,Zerg,3129
win,Zerg,2490
loss,Protoss,2412
win,Zerg,2468
loss,Protoss,2602
win,Protoss,4053
loss,Zerg,3918
win,Protoss,4036
loss,Zerg,3084
win,Zerg,4898
loss,Protoss,3566
win,Zerg,1858
loss,Protoss,1342
win,Zerg,4652
loss,Protoss,3504
win,Zerg,5195
loss,Protoss,4327
win,Zerg,990
loss,Protoss,1824
win,Zerg,4915
loss,Protoss,3224
win,Zerg,5290
loss,Protoss,4176
win,Zerg,4484
loss,Protoss,3767
win,Protoss,4473
loss,Zerg,3717
win,Protoss,1460
loss,Zerg,867
win,Zerg,3790
loss,Protoss,3868
win,Protoss,3588
loss,Zerg,3431
win,Zerg,3963
loss,Protoss,3543
win,Zerg,4473
loss,Protoss,3739
win,Protoss,1779
loss,Zerg,1370
win,Protoss,2737
loss,Zerg,3106
win,Protoss,4876
loss,Zerg,4478
win,Protoss,1118
loss,Zerg,1007
win,Protoss,3179
loss,Zerg,2910
win,Protoss,2558
loss,Zerg,2479
win,Protoss,4764
loss,Zerg,4159
win,Protoss,4736
loss,Zerg,4697
win,Zerg,3790
loss,Protoss,3448
win,Protoss,2244
loss,Zerg,1942
win,Protoss,2171
loss,Zerg,2059
win,Protoss,3790
loss,Zerg,4764
win,Protoss,4232
loss,Zerg,4551
win,Protoss,4456
loss,Zerg,4994
win,Zerg,5430
loss,Protoss,3582
win,Zerg,4658
loss,Protoss,3286
win,Zerg,5906
loss,Protoss,3958
win,Protoss,4198
loss,Zerg,5156
win,Protoss,5022
loss,Zerg,4574
win,Protoss,4988
loss,Zerg,4960
win,Zerg,4232
loss,Protoss,3879
win,Protoss,3924
loss,Zerg,4361
win,Zerg,5654
loss,Protoss,4428
win,Zerg,4764
loss,Protoss,3616
win,Protoss,4943
loss,Zerg,5324
win,Protoss,3078
loss,Zerg,3112
win,Zerg,4518
loss,Protoss,3974
win,Zerg,4534
loss,Protoss,3644
win,Protoss,4092
loss,Zerg,4630
win,Zerg,4394
loss,Protoss,3851
win,Zerg,3745
loss,Protoss,3515
win,Protoss,1197
loss,Zerg,1135
win,Protoss,3532
loss,Zerg,3605
win,Zerg,5094
loss,Protoss,4165
win,Zerg,4674
loss,Protoss,3879
win,Protoss,3790
loss,Zerg,3930
win,Protoss,4322
loss,Zerg,4658
win,Protoss,4098
loss,Zerg,5122
win,Protoss,3336
loss,Zerg,4014
win,Zerg,3336
loss,Protoss,3157
win,Zerg,4921
loss,Protoss,4137
win,Zerg,4607
loss,Protoss,3594
win,Zerg,3235
loss,Protoss,3442
win,Protoss,4484
loss,Zerg,4814
win,Protoss,3980
loss,Zerg,3661
win,Zerg,5128
loss,Protoss,4417
win,Zerg,4226
loss,Protoss,3476
win,Protoss,4814
loss,Zerg,4534
win,Protoss,4506
loss,Zerg,4988
win,Protoss,4019
loss,Zerg,4758
win,Zerg,4042
loss,Protoss,3426
win,Zerg,4562
loss,Protoss,3784
win,Zerg,4338
loss,Protoss,3644
win,Zerg,4909
loss,Protoss,4030
win,Protoss,4109
loss,Zerg,4366
win,Protoss,4154
loss,Zerg,4009
win,Protoss,3857
loss,Zerg,4327
win,Protoss,2714
loss,Zerg,3689
win,Zerg,3398
loss,Protoss,2854
win,Protoss,3706
loss,Zerg,3812
win,Zerg,4070
loss,Protoss,3084
win,Protoss,3314
loss,Zerg,3022
win,Protoss,4148
loss,Zerg,4327
win,Protoss,3823
loss,Zerg,5078
win,Zerg,3437
loss,Protoss,2574
win,Zerg,2804
loss,Protoss,2518
win,Zerg,4350
loss,Protoss,4058
win,Protoss,4187
loss,Zerg,4798
win,Protoss,3644
loss,Zerg,4501
win,Protoss,839
loss,Zerg,811
win,Zerg,4826
loss,Protoss,4814
win,Zerg,3314
loss,Protoss,3297
win,Zerg,3857
loss,Protoss,3599
win,Zerg,4400
loss,Protoss,3650
win,Zerg,5425
loss,Protoss,4226
win,Zerg,4092
loss,Protoss,3823
win,Zerg,5010
loss,Protoss,3958
win,Zerg,4865
loss,Protoss,4456
win,Zerg,4982
loss,Protoss,4064
win,Protoss,3140
loss,Zerg,3734
win,Zerg,4445
loss,Protoss,4518
win,Zerg,2390
loss,Protoss,2720
win,Zerg,4646
loss,Protoss,3532
win,Zerg,4977
loss,Protoss,4478
win,Protoss,3571
loss,Zerg,3476
win,Zerg,4792
loss,Protoss,4966
win,Protoss,4338
loss,Zerg,4786
win,Zerg,4142
loss,Protoss,3633
win,Zerg,895
loss,Protoss,783
win,Protoss,4109
loss,Zerg,4663
win,Zerg,5498
loss,Protoss,4333
win,Protoss,3666
loss,Zerg,4663
win,Protoss,3840
loss,Zerg,3885
win,Zerg,4842
loss,Protoss,3795
win,Zerg,3263
loss,Protoss,2513
win,Zerg,4938
loss,Protoss,4120
win,Protoss,4506
loss,Zerg,4467
win,Protoss,4467
loss,Zerg,4607
win,Zerg,5257
loss,Protoss,4478
win,Protoss,4316
loss,Zerg,5330
win,Zerg,4070
loss,Protoss,3381
win,Zerg,839
loss,Protoss,1074
win,Zerg,839
loss,Protoss,1074
win,Zerg,4523
loss,Protoss,3706
win,Protoss,3622
loss,Zerg,4053
win,Zerg,4770
loss,Protoss,3706
win,Protoss,4305
loss,Zerg,5262
win,Zerg,4529
loss,Protoss,4467
win,Zerg,1931
loss,Protoss,1242
win,Protoss,2440
loss,Zerg,3498
win,Zerg,5682
loss,Protoss,3963
win,Zerg,5201
loss,Protoss,3655
win,Zerg,4467
loss,Protoss,4064
win,Protoss,4243
loss,Zerg,4445
win,Zerg,4546
loss,Protoss,3398
win,Protoss,2714
loss,Zerg,3269
win,Zerg,2989
loss,Protoss,2166
win,Protoss,3784
loss,Zerg,3381
win,Protoss,1774
loss,Zerg,2087
win,Zerg,3812
loss,Protoss,3454
win,Zerg,4170
loss,Protoss,3756
win,Protoss,2468
loss,Zerg,2614
win,Protoss,3515
loss,Zerg,3711
win,Protoss,727
loss,Zerg,783
win,Protoss,3796
loss,Zerg,4540
win,Protoss,3694
loss,Zerg,4064
win,Protoss,4187
loss,Zerg,4680
win,Zerg,4400
loss,Protoss,3678
win,Zerg,3095
loss,Protoss,3084
win,Zerg,4243
loss,Protoss,2586
win,Protoss,2888
loss,Zerg,2826
win,Zerg,5386
loss,Protoss,4495
win,Protoss,2580
loss,Zerg,3476
win,Protoss,3767
loss,Zerg,4484
win,Protoss,2104
loss,Zerg,2205
win,Protoss,2569
loss,Zerg,2434
win,Protoss,1135
loss,Zerg,1018
