relative_position,army_value,current_stage,gameloop
0.43902914096755197,3775,early,20640
0.9574143557825976,3350,early,16800
0.2633682968771291,5600,early,15600
0.377699276478626,6900,early,15840
0.788531130667052,4150,early,17520
0.964123425656169,500,early,15840
0.15309887413431533,3800,early,19680
0.28055418069528115,7600,early,37200
0.4998699947910029,900,early,47760
0.3397917436137406,1700,early,48240
0.9395782131738013,1600,early,48960
0.9180145774700207,650,early,49200
0.7631259979663934,500,early,51600
0.7399847974688454,2800,early,15360
0.0922493362697992,2900,early,14640
0.10240679779120043,4100,early,15360
0.10541340191088211,2800,early,15600
0.13639055021628776,4900,early,16560
0.24042349669737795,4500,early,16800
0.3511738528893764,3400,early,21600
0.5644327962563583,3275,early,21840
0.5512974228472295,4175,early,22080
0.3451040743093939,4675,early,27360
0.3451040743093939,5800,early,27600
0.13689286036945936,2475,early,27840
0.3474915635607877,1600,early,28560
0.26498155026814973,4575,early,29280
0.252103048367607,2000,early,29760
0.20432809074582647,2850,early,31200
0.556156511486771,3575,early,31680
0.7951058995402402,1775,early,32160
0.6063417007079046,3350,early,32400
0.46853888277053013,3050,early,32640
0.17858442781983386,9850,early,34080
0.1627844905762768,8200,early,34320
0.6070142150620974,600,early,23520
0.12473735284782639,500,early,24000
0.26663767686858164,2775,early,24240
0.36119252030946924,3850,early,24720
0.9404941218645326,1050,early,24960
0.7710802352769363,1050,early,25200
0.18498645012012316,600,early,25440
0.15196511063385598,2150,early,25680
0.12238256181272023,2125,early,25920
0.3065461333085845,4025,early,26160
0.4526145650219359,2600,early,27600
0.2110127979820236,2875,early,28080
0.5271597456426433,700,early,28320
0.32722397140624904,4625,early,28560
0.43550861388195455,2925,early,28800
0.15265834170119563,1900,early,29040
0.20938977840717898,800,early,29280
0.830567798828713,1700,early,11280
0.8333791847027876,950,early,11760
0.8049112379521133,1250,early,12480
0.057753540948175974,750,early,14400
0.10776494421446026,1025,early,14640
0.0693103002111688,1775,early,14880
0.7769340776650813,750,early,18480
0.10220928720813305,1425,early,20880
0.11261096573159945,4025,early,11760
0.07845081989404834,2700,early,12240
0.9308958634317336,3600,early,14160
0.9029176886681973,1600,early,14400
0.22941005620506205,4175,early,25440
0.894483043990247,9525,early,26400
0.5993577724658097,6000,early,26640
0.6786875458779564,4275,early,26880
0.7872200522721408,4575,early,27120
0.8044480148271562,4125,early,27360
0.8099214825856553,3000,early,27600
0.7715919996528536,3050,early,27840
0.882991941729254,3750,early,28800
0.9086675242929831,4975,early,29040
0.8791699721799034,2825,early,29280
0.9095521330281211,2125,early,29520
0.8889890562615465,3200,early,10560
0.949644896146519,1000,early,17280
0.5185730111966813,1275,early,18000
0.7855668090071348,2050,early,18240
0.7199309905401938,4100,early,18480
0.7580928744303621,4300,early,21120
0.8103362336542845,4000,early,21360
0.8880006081646519,4025,early,21600
0.9048843211780115,1375,early,10320
0.9688656628576702,1000,early,10560
0.9599278022952089,625,early,11040
0.05778309467433734,1725,early,15120
0.937737957224323,4350,early,15120
0.8467506397609003,3750,early,16080
0.9389027213382224,1200,early,16560
0.8383175739981948,4750,early,18720
0.8582980281405508,4750,early,18960
0.8195011099784931,3025,early,23520
0.7615983369164327,10350,early,25440
0.781882728625571,6075,early,25680
0.8209245584608869,2050,early,26160
0.9571128481399733,750,early,7440
0.6853492795740119,6550,early,16560
0.5983651868895558,9350,early,16800
0.573849780273553,7275,early,17040
0.7961418494608857,5250,early,17520
0.9563244745893614,1500,early,7920
0.9540041202244314,1875,early,8160
0.061261022916747176,3475,early,18720
0.3857033471310799,1525,early,21600
0.7904160579504913,4900,early,21840
0.13049804354757027,3325,early,25920
0.27721664943124524,1575,early,27120
0.9661392825206631,600,early,27600
0.9283842559401358,4175,early,28080
0.6509970155060643,4425,early,28320
0.6938597522466053,2550,early,28560
0.9361684417211159,650,early,28800
0.9680361166008,3425,early,29040
0.7583290773152845,5425,early,29280
0.5314786651461969,2100,early,12960
0.5718038035405136,600,early,14640
0.12297641762900685,3750,early,17280
0.6910724043042126,3600,early,14640
0.06302758521508411,5325,early,14880
0.13699206329865982,5325,early,15120
0.08019049930809852,2100,early,9120
0.08879749593377029,2800,early,9360
0.07459280884791664,2375,early,9600
0.09824044765963313,2625,early,9840
0.07230479774751353,2975,early,10080
0.0966834179503071,2800,early,10320
0.22375959649771893,800,early,7920
0.07805155661187746,1450,early,8160
0.0592057597696648,2150,early,8640
0.054038281115890374,1200,early,8880
0.04307168193909483,2400,early,9120
0.08942673986254657,2400,early,9600
0.038889987915623314,3050,early,9840
0.9298175455641111,2000,early,11520
0.9841980238085828,2400,early,11760
0.04860519160585164,3725,early,15120
0.09831867478592593,3975,early,15360
0.8946102762994178,2800,early,15840
0.6602857726185639,700,early,14640
0.8394561119886942,550,early,6240
0.8171887286950401,550,early,6480
0.8586331658765606,725,early,6720
0.8415130399835667,725,early,6960
0.8598329763254726,750,early,7680
0.817185333203862,1000,early,8880
0.8294261093777369,625,early,9360
0.8171887286950401,1000,early,10080
0.16563257619207306,2700,early,37680
0.2492379566142342,500,early,37920
0.23584252738025463,2400,early,42000
0.42668664656700744,800,early,42240
0.3936503365482835,1600,early,44400
0.5533987092090622,600,early,45120
0.79924539747617,6500,early,47520
0.5942015280783025,8400,early,47760
0.47357114862993877,1400,early,48000
0.6990151686179567,500,early,48480
0.15034809975392305,1800,early,49440
0.13718699363786635,600,early,49680
0.12576985330974588,1400,early,51120
0.22997525042749034,2400,early,52080
0.34248563591363756,4000,early,52320
0.5720067280494056,12400,early,53760
0.6082948274424378,14200,early,54000
0.6213448870506787,11600,early,54240
0.5972752684136626,10800,early,54480
0.34479715823055945,3700,early,18960
0.3792899857080856,4600,early,19440
0.5760156918995301,3200,early,19680
0.7160013475057866,1600,early,19920
0.9531819272756896,1600,early,20160
0.8248553004850497,3500,early,20400
0.04437482140271487,1500,early,20640
0.8475554561483086,7025,early,20160
0.4205689875997699,4450,early,17280
0.5745138624037918,4350,early,18240
0.9332945840993724,5825,early,18720
0.7072391250720618,5825,early,18960
0.5967204900951175,8175,early,19200
0.4474938102633934,1475,early,19440
0.41022238369949265,4050,early,19680
0.3747901530914095,2125,early,19920
0.3994584123179511,7900,early,20160
0.19164322071961332,3275,early,14880
0.24433462716223853,4300,early,15120
0.16563257619207306,3550,early,15840
0.13340982278589547,3075,early,16080
0.9443944483365393,1500,early,7920
0.9720868883244209,1125,early,8400
0.9440814714585655,1000,early,8640
0.701769839550381,1200,early,14640
0.8731769809101223,725,early,5760
0.9054262273390057,725,early,6000
0.8600997028318502,900,early,6240
0.901455047193547,900,early,6480
0.8752875960888967,900,early,6720
0.8902149204563942,1275,early,6960
0.838759165435775,1275,early,7200
0.7866898071946691,1100,early,7440
0.8682390515914289,925,early,7680
0.8827704297063688,1100,early,7920
0.8446213095445237,1350,early,8400
0.876223140898803,1550,early,8640
0.8185308277927774,1125,early,8880
0.8500088435114742,1375,early,9360
0.8472331059743111,1750,early,9840
0.847377129468891,1500,early,10320
0.29229757961821157,2250,early,11280
0.21514764253448437,1750,early,11520
0.6532030701015669,2625,early,15120
0.4577264745078662,2625,early,15360
0.5240503280840341,1125,early,15600
0.9494729131238901,1500,early,7920
0.7597469266479578,750,early,9840
0.9069643971557161,750,early,6720
0.837111248995123,875,early,7920
0.9081088866173705,1250,early,6960
0.9048780835221212,750,early,7200
0.3050947332179652,4200,early,31920
0.9198772752327826,625,early,9120
0.843050755725939,500,early,9360
0.7281231767832939,2850,early,26880
0.49315336358405515,500,early,27120
0.5207211057869413,500,early,27360
0.4827700896429202,2725,early,27600
0.5761847204164268,2400,early,27840
0.5738217389615932,2050,early,28080
0.6460797284728774,5375,early,28560
0.30901699437494745,4800,early,17280
0.6684112763971748,1925,early,17520
0.7418716468952661,5600,early,18000
0.8156874360294164,5775,early,18240
0.9668777439567156,625,early,9120
0.7885559242074636,8250,early,26880
0.6175513327353656,6950,early,27360
0.7137439411192363,3975,early,18720
0.8351486997965689,4000,early,19200
0.8325526026650754,3300,early,19440
0.7550848046017524,3725,early,19920
0.7718887399630324,1575,early,20160
0.47684678239668005,2925,early,19680
0.5987139155982142,550,early,20880
0.7684081463733496,1500,early,21360
0.9462814763999738,1375,early,21600
0.8409175468769412,2300,early,21840
0.948032529229698,11425,early,22080
0.6640855326780883,7925,early,22320
0.9672227265876538,2825,early,22800
0.7658124125978627,2375,early,23040
0.790729104236351,2925,early,23280
0.925295453467803,1625,early,9360
0.2909139772529955,600,early,8880
0.1588743802718437,2125,early,9120
0.04922905353717194,1075,early,10080
0.08965418247552237,1925,early,11040
0.08840069091700598,1050,early,11280
0.28398411701216764,4375,early,22320
0.3950500622430724,1325,early,22560
0.6400822651613999,600,early,22800
0.421336824291044,925,early,25680
0.28660261291234623,600,early,29760
0.21966188254967345,1600,early,30240
0.11540005468654291,700,early,30480
0.08991783066940062,4800,early,30720
0.941840632571477,3175,early,14400
0.893087088035737,3050,early,14640
0.7894709882095112,3375,early,17280
0.6278453250224455,2225,early,17520
0.07980166107562836,1225,early,18000
0.5212391214722905,3050,early,19680
0.5039586461393486,1000,early,20400
0.5197606614481732,1750,early,21600
0.8756462567129839,650,early,21840
0.8438752324353627,2875,early,22080
0.9635223030955529,6200,early,22320
0.815666924136379,3825,early,23040
0.9092241088459903,3650,early,24000
0.7129034329222953,4425,early,24240
0.7502852008425946,1125,early,24720
0.757957418755711,1950,early,25680
0.7750156721452645,1800,early,25920
0.9367575221198332,1000,early,26400
0.9654373366096545,2325,early,26640
0.6884563688378561,3250,early,26880
0.8211815473544974,975,early,27600
0.8165454839667867,5675,early,30480
0.761901224629139,3300,early,30720
0.753618165657062,7650,early,31200
0.935745209636291,1000,early,9360
0.7169530221864826,5900,early,32400
0.16788746781246455,3925,early,20880
0.7921332495521535,4375,early,24960
0.9034304802425275,4725,early,25200
0.7709869212154511,4825,early,25440
0.5605558050981101,4425,early,25920
0.7022943352174009,1300,early,26160
0.17768534962464788,2975,early,26400
0.20940547235460283,3150,early,26640
0.16787176543393428,3300,early,26880
0.8541941534235563,1700,early,17280
0.861436589191293,1250,early,17520
0.861436589191293,1275,early,17760
0.8403752313828954,800,early,18000
0.45657664046475355,4100,early,41280
0.21978491452134774,9250,early,42960
0.274778605610022,12550,early,43200
0.12711542604314535,8675,early,43440
0.17091446763076795,1525,early,45840
0.31677305217557716,1100,early,46560
0.4067546862164304,600,early,47040
0.15859592148500917,2550,early,47280
0.39700947650135865,5775,early,48480
0.05742254429923077,4775,early,48720
0.10438043689210441,1625,early,48960
0.2615231212292619,5150,early,53520
0.6044871237544365,10800,early,56160
0.9295217586749693,2775,early,9360
0.9083406397138161,875,early,9600
0.432669568863734,2625,early,8400
0.3095677926356759,3400,early,8640
0.7301446741434423,4925,early,26880
0.9037553729167527,5700,early,27120
0.8352734952787846,6800,early,27360
0.8925971350909637,7150,early,27600
0.9311233636055073,6025,early,28320
0.8202623233685701,4500,early,28800
0.8305808507341848,2250,early,29040
0.07032566592532491,2650,early,29280
0.11790524133251262,1925,early,29520
0.7223514947805474,1375,early,30240
0.441838836927145,1475,early,30480
0.8006494240396187,700,early,30960
0.7129627144456817,2650,early,31200
0.7115174690126536,1875,early,31920
0.6029328295747572,2375,early,32160
0.05675538516476064,3225,early,32400
0.8015305369250217,875,early,33120
0.7044608466488451,2300,early,33360
0.8148842707976881,4175,early,33600
0.8922669129963066,7825,early,33840
0.6049904995691644,5550,early,36480
0.6807948048049062,1900,early,36960
0.7725849621611047,2000,early,37680
0.7567723935239322,6150,early,37920
0.9037469182670939,4950,early,38160
0.6262280211582196,3900,early,38640
0.115683901993124,800,early,38880
0.3764905899592561,2000,early,39600
0.6405116500295044,3800,early,40080
0.7493621345737866,1950,early,40320
0.8280954523886125,2200,early,40560
0.9024900540034075,3475,early,16560
0.1787289877121695,1350,early,17040
0.9724937237315233,1000,early,17760
0.9571447383666907,4950,early,27120
0.9189136354062166,4300,early,27360
0.9457662290401516,1400,early,10320
0.9248645687134671,1350,early,9120
0.9648212662620312,1775,early,9360
0.9771461408310738,1450,early,9600
0.9573571666756051,950,early,9840
0.9464769305820726,1250,early,7200
0.9159239983034733,500,early,7680
0.8731769809101223,6800,early,14160
0.9262091498702862,7100,early,14640
0.8755610298904853,5825,early,14880
0.9259033219083266,3200,early,12480
0.7577014240816535,4450,early,12720
0.7424694182717265,4750,early,12960
0.8507808283868916,4250,early,13200
0.6762880540187983,700,early,16560
0.8461674379808176,550,early,9120
0.844326292332264,2650,early,9600
0.04912897756920731,2550,early,9840
0.17557372980039637,2650,early,10080
0.21733881514841646,2100,early,10320
0.1930298470552022,1750,early,12000
0.1160952041620148,1825,early,12240
0.06386956451931991,800,early,9360
0.10911517146003513,3050,early,18240
0.26132746468190476,3075,early,18480
0.6163062046514494,1625,early,18720
0.609845582206233,1500,early,19440
0.6782688399674104,10525,early,20160
0.673240881886294,8100,early,20400
0.7253244103197704,4725,early,20640
0.9294342494154594,750,early,7680
0.9697157149105999,2625,early,12960
0.9350650977403381,1125,early,13200
0.9281711786316027,750,early,6960
0.7580322458719786,525,early,9120
0.04781873009289478,1625,early,18240
0.47084926272667893,5900,early,44400
0.5092150020321887,1200,early,46560
0.3300850879565403,1100,early,47040
0.4212999764426635,9200,early,48720
0.5617710505121601,1600,early,50880
0.3457745889506191,600,early,51840
0.28146338694980355,7600,early,53040
0.47672989183274467,500,early,58320
0.5485586715524012,1150,early,58560
0.605637458604187,5750,early,60000
0.3451409985003952,9350,early,60960
0.5434405325044351,7600,early,62160
0.3501435281817922,500,early,62400
0.6178413027415324,2725,early,65040
0.49756223891212126,8075,early,65280
0.5053876965174714,10175,early,65520
0.5843199599980721,4850,early,65760
0.762586287029505,3900,early,67440
0.6500028969888084,500,early,69120
0.6262348199424155,2500,early,69840
0.6956087074640501,4575,early,70320
0.7450959876192271,1900,early,70560
0.6590526470789153,1150,early,71040
0.715251388969024,2000,early,71280
0.700943942909505,500,early,71520
0.7219033528990605,1575,early,72000
0.7257790569068098,3100,early,72480
0.7299424068798369,14650,early,72720
0.7212436674265359,13025,early,72960
0.7088381575271845,2550,early,73200
0.05827241777642478,2450,early,11280
0.027383648942735594,1250,early,11760
0.017756543557946147,2075,early,12000
0.02485150529706226,1025,early,12240
0.055545084299664316,3100,early,12960
0.09395781125207436,3000,early,13440
0.11524563494465467,500,early,8400
0.12083031570614933,2400,early,13440
0.02551011890267657,750,early,13680
0.12791341966338288,750,early,13920
0.17267389540712114,2675,early,29040
0.8143089820465954,2450,early,36480
0.8084687541069502,3300,early,36720
0.495909924730373,825,early,36960
0.21684806685939856,1850,early,37920
0.21109350248825892,1000,early,38160
0.20874094692786455,600,early,38400
0.6513570768254973,2700,early,38640
0.3750544409286981,1575,early,39360
0.7236329564398443,3050,early,40560
0.5219752572157829,1675,early,41280
0.7236329564398443,5050,early,41760
0.7586990593334022,2350,early,42000
